Data,Graph,full,multi,paired1,paired2,Number of maximum recursion depth,Number of maximum Transcripts/Gene,opt,Norm,Sparsity Constraint,Lambda,Mu,flowOptimization,CostFunctionIndex,maxAdditionalEdgeCount,Mode of Backtrack,Name of gtfFile,Name of csv-Resultfile,Name of jsonFile,Time,Number of Transcripts without Optimization,Number of Transcripts with Optimization,Number of genes with 0 Transcripts with Optimization,Average number of transcripts/gene without Optimization,Standard deviation of transcripts/gene without Optimization,Average number of transcripts/gene with Optimization,Standard deviation of transcripts/gene with Optimization,Average transcript size without Optimization,Standard deviation of transcriptSize without Optimization,Average transcript size with Optimization,Standard deviation of transcriptSize with Optimization,Average number of exons/Gene,Standard deviation of exons/Gene,Number of single Exon transcripts without Optimization,Number of single Exon transcripts with Optimization,Number of total Genes,Number of Genes exceeding maxTranscripts,Number of Genes exceeding maxRecursion,Number of Genes exceeding maxPairedBins,True positives,False positives,Total positives,False negatives,Total Transcripts of ReferenceGTF,Sensitivity on IntronChainLevel,Precision on IntronChainLevel,Fuzzy Sensitivity on IntronChainLevel,Fuzzy Precision on IntronChainLevel,Fraction exceeding Transcripts
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,1,0,1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,222.239,86268,37339,0,3.65124645532653,42.1276837326666,1.5803529859906,1.22700986059864,37.1241827792461,58.649944167286,10.8840622405528,15.5949649828016,14.7048542045791,20.8145430615705,48,48,23629,2,0,0,11452,23954,35406,215359,226811,5.8,32.3,41.0,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,1,0,5,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,284.296,86268,31735,0,3.65124645532653,42.1276837326666,1.3431667160452,1.25398888256446,37.1241827792461,58.649944167286,11.9529226406176,16.2646501257838,14.7048542045791,20.8145430615705,48,48,23629,2,0,0,11061,19155,30216,215750,226811,5.6,36.6,38.7,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,1,0,10,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,297.865,86268,26687,0,3.65124645532653,42.1276837326666,1.1295128454734,1.25897591157502,37.1241827792461,58.649944167286,13.3553415520666,16.9208974036495,14.7048542045791,20.8145430615705,48,46,23629,2,0,0,10595,14904,25499,216216,226811,5.4,41.6,36.8,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,1,1,0.01,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,159.467,86268,38742,0,3.65124645532653,42.1276837326666,1.63973420239556,1.39746504623141,37.1241827792461,58.649944167286,11.0830881214186,14.9562033577242,14.7048542045791,20.8145430615705,48,48,23629,2,0,0,11699,24980,36679,215112,226811,5.9,31.9,45.3,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,1,1,0.1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,158.129,86268,38771,0,3.65124645532653,42.1276837326666,1.64096161171541,1.40886524116523,37.1241827792461,58.649944167286,11.1116556188904,15.0353753979192,14.7048542045791,20.8145430615705,48,48,23629,2,0,0,11695,25006,36701,215116,226811,5.9,31.9,45.6,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,1,1,1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,156.204,86268,37990,0,3.65124645532653,42.1276837326666,1.60790620899818,1.35443318558658,37.1241827792461,58.649944167286,11.3026059489339,15.4053560550578,14.7048542045791,20.8145430615705,48,0,23629,2,0,0,11592,24464,36056,215219,226811,5.9,32.2,45.2,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,1,1,5,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,156.985,86268,25423,0,3.65124645532653,42.1276837326666,1.07601472891184,1.3636182508528,37.1241827792461,58.649944167286,15.4989969712465,17.0937450108713,14.7048542045791,20.8145430615705,48,0,23629,2,0,0,10141,14467,24608,216670,226811,5.1,41.2,43.1,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,1,1,10,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,155.356,86268,18468,0,3.65124645532653,42.1276837326666,0.781648114445338,1.28052375001123,37.1241827792461,58.649944167286,19.4540827377085,18.4202755185509,14.7048542045791,20.8145430615705,48,0,23629,2,0,0,8233,9782,18015,218578,226811,4.2,45.7,38.7,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,1,-1,None,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,183.393,167989,56384,0,5.15683325147348,91.582359754662,1.73084479371316,1.65783839835675,25.3606962360631,22.5756428544196,8.69145502270148,10.4376256874751,11.9286963995212,16.510043564898,108,108,32579,3,0,0,11475,40669,52144,215336,226811,5.8,22.0,55.4,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,1,0,0.01,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,199.694,167989,55871,0,5.15683325147348,91.582359754662,1.71509700392927,1.60909555251183,25.3606962360631,22.5756428544196,8.6681641638775,10.407910764036,11.9286963995212,16.510043564898,108,108,32579,3,0,0,11411,40297,51708,215400,226811,5.8,22.1,54.4,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,1,0,0.1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,222.535,167989,54517,0,5.15683325147348,91.582359754662,1.67353266208251,1.48357101553481,25.3606962360631,22.5756428544196,8.50837353486069,10.3894339251934,11.9286963995212,16.510043564898,108,108,32579,3,0,0,11179,39283,50462,215632,226811,5.7,22.2,50.9,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,1,0,1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,314.714,167989,53787,0,5.15683325147348,91.582359754662,1.65112352652259,1.39440851255663,25.3606962360631,22.5756428544196,8.32870396192389,10.2189310487156,11.9286963995212,16.510043564898,108,108,32579,3,0,0,11092,38674,49766,215719,226811,5.6,22.3,48.3,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,1,0,5,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,429.649,167989,45580,0,5.15683325147348,91.582359754662,1.39918958742633,1.40238738012459,25.3606962360631,22.5756428544196,9.08222904782799,10.577107422171,11.9286963995212,16.510043564898,108,107,32579,3,0,0,10660,31617,42277,216151,226811,5.4,25.2,45.3,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,1,0,10,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,447.614,167989,37307,0,5.15683325147348,91.582359754662,1.14522961689587,1.40421379539997,25.3606962360631,22.5756428544196,10.2517221969067,11.0586049379652,11.9286963995212,16.510043564898,108,102,32579,3,0,0,10130,24587,34717,216681,226811,5.1,29.2,42.8,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,1,1,0.01,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,188.55,167989,56289,0,5.15683325147348,91.582359754662,1.72792853634578,1.639849408297,25.3606962360631,22.5756428544196,8.65156602533355,10.3507225221552,11.9286963995212,16.510043564898,108,108,32579,3,0,0,11496,40545,52041,215315,226811,5.8,22.1,54.5,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,1,1,0.1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,185.375,167989,56306,0,5.15683325147348,91.582359754662,1.72845039292731,1.63934614537914,25.3606962360631,22.5756428544196,8.6517067452847,10.3549393548817,11.9286963995212,16.510043564898,108,108,32579,3,0,0,11509,40552,52061,215302,226811,5.8,22.1,54.5,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,1,1,1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,183.112,167989,54734,0,5.15683325147348,91.582359754662,1.68019400785855,1.54661774095925,25.3606962360631,22.5756428544196,8.74140388058611,10.467177122538,11.9286963995212,16.510043564898,108,0,32579,3,0,0,11347,39424,50771,215464,226811,5.7,22.3,53.3,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,1,1,5,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,182.747,167989,32331,0,5.15683325147348,91.582359754662,0.992479125736739,1.47279402932859,25.3606962360631,22.5756428544196,13.0739537904797,11.9112064091797,11.9286963995212,16.510043564898,108,0,32579,3,0,0,9524,21440,30964,217287,226811,4.8,30.8,50.6,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,1,1,10,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,178.451,167989,22042,0,5.15683325147348,91.582359754662,0.676633104125737,1.33924358805489,25.3606962360631,22.5756428544196,17.0346611015334,12.6027801517053,11.9286963995212,16.510043564898,108,0,32579,3,0,0,7452,14033,21485,219359,226811,3.8,34.7,45.8,100.0,0.009208385769974523
../Data/Human_Leukemia_Real/human_leukemia_real_5sets.graph,cleaned,1,0,0,0,307,10000,1,0,-1,None,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,901.212,147295,17982,0,17.3943079829948,229.479390461767,2.1235238545111,2.58308938662255,29.3573644726569,14.6308565996073,11.8269380491603,10.4406538988276,19.5097946660373,23.2903047767565,18,18,8474,6,0,0,4019,13406,17425,222792,226811,2.0,23.1,33.3,100.0,0.07080481472740147
../Data/Human_Leukemia_Real/human_leukemia_real_5sets.graph,cleaned,1,0,0,0,307,10000,1,0,1,0.01,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,625.858,147295,15580,0,17.3943079829948,229.479390461767,1.83986773736419,2.26914803224391,29.3573644726569,14.6308565996073,12.4347240051348,11.2514874506124,19.5097946660373,23.2903047767565,18,0,8474,6,0,0,2814,12348,15162,223997,226811,1.4,18.6,29.6,100.0,0.07080481472740147
../Data/Human_Leukemia_Real/human_leukemia_real_5sets.graph,cleaned,1,0,0,0,307,10000,1,0,1,0.1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,226.889,147295,7201,0,17.3943079829948,229.479390461767,0.850377893245158,1.1261218067762,29.3573644726569,14.6308565996073,11.2420497153173,12.420799688796,19.5097946660373,23.2903047767565,18,0,8474,6,0,0,723,6270,6993,226088,226811,0.4,10.3,10.3,100.0,0.07080481472740147
../Data/Human_Leukemia_Real/human_leukemia_real_5sets.graph,cleaned,1,0,0,0,307,10000,1,0,1,1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,113.221,147295,243,0,17.3943079829948,229.479390461767,0.0286962683042041,0.173210810797753,29.3573644726569,14.6308565996073,4.97942386831276,6.21212394952172,19.5097946660373,23.2903047767565,18,0,8474,6,0,0,5,210,215,226806,226811,0.0,2.3,0.1,95.8,0.07080481472740147
../Data/Human_Leukemia_Real/human_leukemia_real_5sets.graph,cleaned,1,0,0,0,307,10000,1,0,0,0.01,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,1127.544,147295,16864,0,17.3943079829948,229.479390461767,1.99149740198394,2.27098270445905,29.3573644726569,14.6308565996073,11.4783562618596,10.2654794720835,19.5097946660373,23.2903047767565,18,18,8474,6,0,0,3850,12478,16328,222961,226811,1.9,23.6,29.5,100.0,0.07080481472740147
../Data/Human_Leukemia_Real/human_leukemia_real_5sets.graph,cleaned,1,0,0,0,307,10000,1,0,0,0.1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,1178.426,147295,16894,0,17.3943079829948,229.479390461767,1.9950401511573,2.28922617416434,29.3573644726569,14.6308565996073,11.4921273825027,10.3437583909916,19.5097946660373,23.2903047767565,18,18,8474,6,0,0,3856,12510,16366,222955,226811,2.0,23.6,30.1,100.0,0.07080481472740147
../Data/Human_Leukemia_Real/human_leukemia_real_5sets.graph,cleaned,1,0,0,0,307,10000,1,0,0,1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,1315.206,147295,10213,0,17.3943079829948,229.479390461767,1.20606991025035,1.6979067837067,29.3573644726569,14.6308565996073,13.1402134534417,10.5399711761797,19.5097946660373,23.2903047767565,18,0,8474,6,0,0,2125,7882,10007,224686,226811,1.1,21.2,19.9,100.0,0.07080481472740147
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,0,-1,None,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,1196.87,86268,41617,0,3.65124645532653,42.1276837326666,1.76141702289753,1.71115456190726,37.1241827792461,58.649944167286,11.816853689598,17.064033221579,14.7048542045791,20.8145430615705,48,48,23629,2,0,0,12026,27392,39418,214785,226811,6.1,30.5,52.7,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,0,0,0.01,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,1404.144,86268,39539,0,3.65124645532653,42.1276837326666,1.67346679646168,1.4899675268145,37.1241827792461,58.649944167286,11.4834720149726,17.1272253169496,14.7048542045791,20.8145430615705,48,48,23629,2,0,0,11581,25938,37519,215230,226811,5.9,30.9,47.0,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,0,0,0.1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,1490.183,86268,39523,0,3.65124645532653,42.1276837326666,1.67278960511279,1.48441117195768,37.1241827792461,58.649944167286,11.4476886875996,17.0837266667756,14.7048542045791,20.8145430615705,48,48,23629,2,0,0,11553,25958,37511,215258,226811,5.9,30.8,47.0,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,0,0,1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,1905.751,86268,30501,0,3.65124645532653,42.1276837326666,1.29093833326279,1.22914482423686,37.1241827792461,58.649944167286,11.6725353267106,15.7895039663396,14.7048542045791,20.8145430615705,48,0,23629,2,0,0,8420,20970,29390,218391,226811,4.3,28.7,37.0,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,0,1,0.01,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,1066.529,86268,40396,0,3.65124645532653,42.1276837326666,1.70973885808609,1.65856619721904,37.1241827792461,58.649944167286,11.686478859293,16.5520242714429,14.7048542045791,20.8145430615705,48,39,23629,2,0,0,11253,27039,38292,215558,226811,5.7,29.4,51.0,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,0,1,0.1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,500.884,86268,32080,0,3.65124645532653,42.1276837326666,1.35776865450544,1.3564494831544,37.1241827792461,58.649944167286,10.5012157107232,14.8558772907299,14.7048542045791,20.8145430615705,48,2,23629,2,0,0,6313,24213,30526,220498,226811,3.2,20.7,38.4,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,0,1,1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,177.999,86268,7025,0,3.65124645532653,42.1276837326666,0.297329326617852,0.524207103441281,37.1241827792461,58.649944167286,5.57807829181495,11.2075281813259,14.7048542045791,20.8145430615705,48,0,23629,2,0,0,443,6361,6804,226368,226811,0.2,6.5,3.0,88.4,0.008464175377713826
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,0,-1,None,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,1892.219,167989,61171,1,5.15683325147348,91.582359754662,1.87785111281658,2.0063980181514,23.6991216298646,20.158540410855,9.13467165813866,10.5792837800121,11.9286963995212,16.510043564898,108,108,32579,3,0,0,11733,44967,56700,215078,226811,5.9,20.7,65.8,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,0,0,0.01,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,2387.436,167989,57646,1,5.15683325147348,91.582359754662,1.76963929393707,1.72851451423279,23.6991216298646,20.158540410855,8.81603233528779,10.4383448310693,11.9286963995212,16.510043564898,108,108,32579,3,0,0,11148,42386,53534,215663,226811,5.6,20.8,57.9,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,0,0,0.1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,2683.005,167989,57648,1,5.15683325147348,91.582359754662,1.76970069071374,1.72663906236996,23.6991216298646,20.158540410855,8.78802386899806,10.3260762005906,11.9286963995212,16.510043564898,108,108,32579,3,0,0,11186,42350,53536,215625,226811,5.7,20.9,57.8,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,0,0,1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,3302.237,167989,43335,1,5.15683325147348,91.582359754662,1.33031465848043,1.40589473633791,23.6991216298646,20.158540410855,9.20290758047767,10.4697760127812,11.9286963995212,16.510043564898,108,0,32579,3,0,0,7922,33151,41073,218889,226811,4.0,19.3,45.7,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,0,1,0.01,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,1852.116,167989,59626,1,5.15683325147348,91.582359754662,1.8304221028396,1.94259145505374,23.6991216298646,20.158540410855,9.14319256700097,10.707478075618,11.9286963995212,16.510043564898,108,75,32579,3,0,0,10999,44333,55332,215812,226811,5.6,19.9,64.2,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,0,1,0.1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,708.22,167989,49883,0,5.15683325147348,91.582359754662,1.53128069744597,1.58995431347408,25.3606962360631,22.5756428544196,8.55876751598741,10.2692750652127,11.9286963995212,16.510043564898,108,6,32579,3,0,0,6828,39739,46567,219983,226811,3.5,14.7,50.0,100.0,0.009208385769974523
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,1,0,1,1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,219.788,167989,9776,0,5.15683325147348,91.582359754662,0.300098231827112,0.524466316784538,25.3606962360631,22.5756428544196,5.09922258592471,7.26702079338035,11.9286963995212,16.510043564898,108,0,32579,3,0,0,530,8930,9460,226281,226811,0.3,5.6,3.7,77.8,0.009208385769974523
../Data/Human_Geauvadis_simulated/human_geuvadis_simulated_5sets.graph,cleaned,1,0,0,0,276,10000,0,-1,-1,None,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,58.176,97597,0,0,4.48907593946921,34.7426725515295,0.0,0.0,15.2217588655389,10.6584405684593,None,None,17.8526746699784,20.5825297220564,20,0,21741,0,0,0,19219,71605,90824,97749,116968,17.8,21.2,100.0,100.0,0.0
../Data/Human_Leukemia_Real/human_leukemia_real_5sets.graph,cleaned,1,0,0,0,307,10000,0,-1,-1,None,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,48.754,147295,0,0,17.3943079829948,229.479390461767,0.0,0.0,29.3573644726569,14.6308565996073,None,None,19.5097946660373,23.2903047767565,18,0,8474,6,0,0,4713,138225,142938,222098,226811,2.4,3.3,100.0,100.0,0.07080481472740147
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,0,-1,-1,None,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,57.647,86268,0,0,3.65124645532653,42.1276837326666,0.0,0.0,37.1241827792461,58.649944167286,None,None,14.7048542045791,20.8145430615705,48,0,23629,2,0,0,13130,67955,81085,213681,226811,6.7,16.2,100.0,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307911.graph,cleaned,1,0,0,0,668,10000,0,-1,-1,None,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2.csv,None,69.192,167989,0,0,5.15683325147348,91.582359754662,0.0,0.0,25.3606962360631,22.5756428544196,None,None,11.9286963995212,16.510043564898,108,0,32579,3,0,0,13315,144478,157793,213496,226811,6.7,8.4,100.0,100.0,0.009208385769974523
